0:0:0:0:0:0:0:1 - - [14/Mar/2017:00:13:21 +0530] "GET /WebApplication4/buyer/assets/js/jquery-1.11.2.min.js HTTP/1.1" 200 95931
0:0:0:0:0:0:0:1 - - [14/Mar/2017:00:13:22 +0530] "GET /WebApplication4/buyer/assets/js/templatemo-script.js HTTP/1.1" 200 938
0:0:0:0:0:0:0:1 - - [14/Mar/2017:00:13:22 +0530] "GET /WebApplication4/buyer/assets/js/docs.min.js HTTP/1.1" 200 76091
0:0:0:0:0:0:0:1 - - [14/Mar/2017:00:13:22 +0530] "GET /WebApplication4/buyer/assets/js/bootstrap.js HTTP/1.1" 200 69709
0:0:0:0:0:0:0:1 - - [14/Mar/2017:00:13:22 +0530] "GET /WebApplication4/buyer/assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 200 418
0:0:0:0:0:0:0:1 - - [14/Mar/2017:00:13:22 +0530] "GET /WebApplication4/buyer/assets/js/jssor.slider.mini.js HTTP/1.1" 200 46414
0:0:0:0:0:0:0:1 - - [14/Mar/2017:00:13:22 +0530] "GET /WebApplication4/buyer/assets/js/sliderjs.js HTTP/1.1" 200 1480
0:0:0:0:0:0:0:1 - - [14/Mar/2017:00:13:22 +0530] "GET /WebApplication4/buyer/assets/img/logo5.png HTTP/1.1" 200 90030
0:0:0:0:0:0:0:1 - - [14/Mar/2017:00:13:22 +0530] "GET /WebApplication4/buyer/assets/img/286-166/1.jpg HTTP/1.1" 200 26507
0:0:0:0:0:0:0:1 - - [14/Mar/2017:00:13:22 +0530] "GET /WebApplication4/buyer/assets/img/286-166/2.jpg HTTP/1.1" 200 28487
0:0:0:0:0:0:0:1 - - [14/Mar/2017:00:13:22 +0530] "GET /WebApplication4/buyer/assets/img/286-166/3.jpg HTTP/1.1" 200 26507
0:0:0:0:0:0:0:1 - - [14/Mar/2017:00:13:22 +0530] "GET /WebApplication4/buyer/assets/img/menu-board.png HTTP/1.1" 200 89409
0:0:0:0:0:0:0:1 - - [14/Mar/2017:00:13:22 +0530] "GET /WebApplication4/buyer/assets/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [14/Mar/2017:00:13:22 +0530] "GET /WebApplication4/buyer/assets/img/loading.gif HTTP/1.1" 200 4765
0:0:0:0:0:0:0:1 - - [14/Mar/2017:00:13:23 +0530] "GET /WebApplication4/buyer/assets/img/a21.png HTTP/1.1" 200 1286
0:0:0:0:0:0:0:1 - - [14/Mar/2017:00:13:23 +0530] "GET /WebApplication4/buyer/assets/img/popular-item-bg.png HTTP/1.1" 200 2157
0:0:0:0:0:0:0:1 - - [14/Mar/2017:00:13:23 +0530] "GET /WebApplication4/buyer/assets/img/b21.png HTTP/1.1" 200 864
0:0:0:0:0:0:0:1 - - [14/Mar/2017:00:13:23 +0530] "GET /WebApplication4/buyer/assets/fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 200 56780
0:0:0:0:0:0:0:1 - - [14/Mar/2017:00:13:23 +0530] "GET /WebApplication4/buyer/assets/img/tm-brown-button.png HTTP/1.1" 200 14204
0:0:0:0:0:0:0:1 - - [14/Mar/2017:00:13:27 +0530] "GET /WebApplication4/buyer/assets/img/1300-620/cc.jpg HTTP/1.1" 200 481221
0:0:0:0:0:0:0:1 - - [14/Mar/2017:00:13:27 +0530] "GET /WebApplication4/buyer/assets/img/1300-620/dd.jpg HTTP/1.1" 200 954191
0:0:0:0:0:0:0:1 - - [14/Mar/2017:00:13:27 +0530] "GET /WebApplication4/buyer/assets/img/1300-620/ee.jpg HTTP/1.1" 200 408451
0:0:0:0:0:0:0:1 - - [14/Mar/2017:00:13:27 +0530] "GET /WebApplication4/buyer/assets/flash/ZeroClipboard.swf?noCache=1489430606029 HTTP/1.1" 200 6586
0:0:0:0:0:0:0:1 - - [14/Mar/2017:00:24:37 +0530] "GET /WebApplication4/provider.jsp HTTP/1.1" 200 9362
0:0:0:0:0:0:0:1 - - [14/Mar/2017:00:24:37 +0530] "GET /WebApplication4/buyer/assets/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:00:24:37 +0530] "GET /WebApplication4/buyer/assets/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:00:24:37 +0530] "GET /WebApplication4/buyer/assets/css/search-bar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:00:24:37 +0530] "GET /WebApplication4/buyer/assets/css/templatemo-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:00:24:37 +0530] "GET /WebApplication4/buyer/assets/js/jquery-3.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:00:24:37 +0530] "GET /WebApplication4/buyer/assets/js/jquery-1.11.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:00:24:37 +0530] "GET /WebApplication4/buyer/assets/js/templatemo-script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:00:24:37 +0530] "GET /WebApplication4/buyer/assets/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:00:24:37 +0530] "GET /WebApplication4/buyer/assets/js/docs.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:00:24:37 +0530] "GET /WebApplication4/buyer/assets/img/logo5.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:00:24:37 +0530] "GET /WebApplication4/buyer/assets/img/286-166/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:00:24:37 +0530] "GET /WebApplication4/buyer/assets/img/286-166/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:00:24:37 +0530] "GET /WebApplication4/buyer/assets/img/286-166/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:00:24:37 +0530] "GET /WebApplication4/buyer/assets/img/popular-item-bg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:00:24:37 +0530] "GET /WebApplication4/buyer/assets/fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Mar/2017:00:24:38 +0530] "GET /WebApplication4/buyer/assets/flash/ZeroClipboard.swf?noCache=1489431277906 HTTP/1.1" 200 6586
0:0:0:0:0:0:0:1 - - [14/Mar/2017:00:24:39 +0530] "GET /WebApplication4/buyer/assets/img/popular-item-bg-hover.png HTTP/1.1" 200 2843
0:0:0:0:0:0:0:1 - - [14/Mar/2017:00:24:42 +0530] "GET /WebApplication4/jkjk HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [14/Mar/2017:00:24:44 +0530] "GET /WebApplication4/buyer/assets/flash/ZeroClipboard.swf?noCache=1489431284275 HTTP/1.1" 200 6586
0:0:0:0:0:0:0:1 - - [14/Mar/2017:00:24:45 +0530] "GET /WebApplication4/provider.jsp HTTP/1.1" 200 9362
0:0:0:0:0:0:0:1 - - [14/Mar/2017:00:24:45 +0530] "GET /WebApplication4/buyer/assets/flash/ZeroClipboard.swf?noCache=1489431285711 HTTP/1.1" 200 6586
